test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
24,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.49582743644714355, 0.27711448073387146, 0.5038418173789978]","[0.46454632193446294, 0.27900722156889673, 0.4734463392239806]","[0.03604000247003953, 0.03656632099092211, 0.02637956122572417]","[0.4058267070353031, 0.21983991414308546, 0.43036306947469705]","[0.5243875032663345, 0.3384699094295502, 0.5163491079211235]","[-0.03128111451268062, 0.001892740835025275, -0.030395478155017197]","[true, true, true]","[0.11856079623103144, 0.11862999528646473, 0.0859860384464265]",4.2108959539127744e-13,4.211118312403753e-13,True,False,False
25,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.2818093001842499, 0.23720413446426392, 0.4524126946926117]","[0.2746591813870152, 0.23423574151996646, 0.46196351177275047]","[0.03771160172348044, 0.03938754187105808, 0.030102064287765812]","[0.21323041915893554, 0.17470114607363937, 0.4140300469100475]","[0.33753361567854884, 0.2999258655309677, 0.5123578241467476]","[-0.00715011879723465, -0.00296839294429746, 0.009550817080138774]","[true, true, true]","[0.1243031965196133, 0.1252247194573283, 0.09832777723670005]",3.3216421259275033e-13,3.3213234738741114e-13,True,False,False
26,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.21793395280838013, 0.32431668043136597, 0.22771498560905457]","[0.21788046504681985, 0.2981075964528421, 0.26258133290648433]","[0.049854703803225785, 0.047924224460338206, 0.035463993882711604]","[0.1583790794806555, 0.22577833522111176, 0.21266842052340507]","[0.3169312071800232, 0.3824719241261482, 0.31737944319844247]","[-5.348776156027801e-05, -0.02620908397852384, 0.03486634729742977]","[true, true, true]","[0.15855212769936772, 0.15669358890503646, 0.1047110226750374]",2.4643658693049195,0.634083713356414,False,True,False
27,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.5465256571769714, 0.29820406436920166, 0.5600944757461548]","[0.5618800886765102, 0.24892112711646988, 0.5831447304415707]","[0.05263995031141801, 0.05535459676760564, 0.035219247077387314]","[0.4832628762722015, 0.16957371326163412, 0.5265697357058525]","[0.6534378263354301, 0.351165117174387, 0.6392351815104484]","[0.015354431499538745, -0.04928293725273178, 0.023050254695415884]","[true, true, true]","[0.17017495006322864, 0.18159140391275286, 0.11266544580459592]",2.249216802170579,1.6225111364521905,False,True,False
28,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.44812747836112976, 0.74813312292099, 0.24313947558403015]","[0.4912049876213057, 0.7142847951984431, 0.27224167407020816]","[0.037419639157522944, 0.04527336830300961, 0.029939973027054083]","[0.4301372611522674, 0.6343681725859641, 0.2251660269498825]","[0.553566389977932, 0.7861990487575531, 0.32073570482432845]","[0.04307750926017595, -0.03384832772254687, 0.02910219848617801]","[true, true, true]","[0.12342912882566454, 0.15183087617158897, 0.09556967787444595]",5.359989635383791e-13,5.36001456254445e-13,True,False,False
29,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.2729624807834625, 0.46274882555007935, 0.31784647703170776]","[0.2916143339685719, 0.42709443035870726, 0.3044061144247643]","[0.03696310295448874, 0.041762127175399, 0.029331751548193577]","[0.2338187577947974, 0.3599449127912521, 0.2585770261287689]","[0.3541697388887405, 0.4961503572762012, 0.3530561004579067]","[0.01865185318510937, -0.03565439519137209, -0.013440362606943479]","[true, true, true]","[0.12035098109394307, 0.1362054444849491, 0.09447907432913777]",1.7172776539272806e-13,1.7169477033419403e-13,True,False,False
30,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.8186419010162354, 0.8350763320922852, 0.7339180111885071]","[0.7632646032726771, 0.7896179104268541, 0.7119446272182465]","[0.04790377465939881, 0.04642036139674993, 0.03866927301340735]","[0.6779954499006271, 0.7008404237031937, 0.6440411931276322]","[0.8333381950855254, 0.8442239540815353, 0.7712859967350959]","[-0.05537729774355826, -0.045458421665431015, -0.021973383970260607]","[true, true, true]","[0.15534274518489832, 0.14338353037834162, 0.1272448036074637]",2.6166383676226648,2.332283430959115,False,True,False
31,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.4550431966781616, 0.47419852018356323, 0.5706247091293335]","[0.3984589236384633, 0.5505805133771884, 0.6352232058906568]","[0.03954301818180896, 0.042050558378088757, 0.028799514796752877]","[0.33366199940443036, 0.4823113963007926, 0.5877557405829429]","[0.46362691178917886, 0.6204149222373962, 0.6828302192687988]","[-0.05658427303969832, 0.07638199319362515, 0.06459849676132334]","[true, false, false]","[0.1299649123847485, 0.13810352593660363, 0.09507447868585595]",2.531460693181429e-09,2.5314606973870552e-09,True,False,False
32,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.5241760015487671, 0.6595979332923889, 0.3378017544746399]","[0.5017665766644468, 0.6935171320247632, 0.3287671933713568]","[0.04005191173328219, 0.04191570242889447, 0.028861124592952387]","[0.4376199059188366, 0.6240758642554283, 0.28187811069190505]","[0.5689722040295602, 0.7618740260601043, 0.37660166084766383]","[-0.022409424884320295, 0.033919198732374256, -0.0090345611032831]","[true, true, true]","[0.13135229811072358, 0.13779816180467608, 0.09472355015575878]",1.4607452841647973e-09,1.4607453743825826e-09,True,False,False
33,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.46883025765419006, 0.2836843729019165, 0.1896786391735077]","[0.4689340295058502, 0.21973754397656658, 0.2304353061783976]","[0.04605629401820185, 0.047508627229518416, 0.03734139493963311]","[0.39293697923421855, 0.15863804122898725, 0.17191071432083843]","[0.542800796031952, 0.3060180125385523, 0.2919484153389931]","[0.00010377185166016156, -0.06394682892534992, 0.04075666700488992]","[true, true, true]","[0.14986381679773342, 0.14737997130956507, 0.12003770101815464]",1.6083586349734104e-08,1.608358622655688e-08,True,False,False
34,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.3300318419933319, 0.7649827003479004, 0.3488997519016266]","[0.35324647104606033, 0.7545127853238578, 0.2690403707028685]","[0.04800766518466893, 0.050749958078091705, 0.03278786131238962]","[0.27586586371064187, 0.6608807411789894, 0.21587667882442474]","[0.4344936421513557, 0.8302278518676757, 0.3235111141204834]","[0.02321462905272842, -0.010469915024042598, -0.07985938119875807]","[true, true, false]","[0.15862777844071385, 0.16934711068868624, 0.10763443529605865]",2.08131691631781e-12,2.081244461208121e-12,True,False,False
35,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.40908774733543396, 0.2611411213874817, 0.37282657623291016]","[0.35716751041606126, 0.23784840750432668, 0.4138665182089805]","[0.03830806830026473, 0.03763239451948793, 0.029321797457885032]","[0.2937084595859051, 0.17932210020720957, 0.3665156354010105]","[0.4196642702817917, 0.3000843048840761, 0.46190406903624537]","[-0.0519202369193727, -0.023292713883155014, 0.04103994197607036]","[true, true, true]","[0.12595581069588663, 0.12076220467686655, 0.09538843363523486]",1.8871059632191488e-13,1.8859612840901107e-13,True,False,False
36,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.36088451743125916, 0.6850845813751221, 0.4361277222633362]","[0.3759331027962264, 0.7693033837091924, 0.4715314131194359]","[0.04177278460443675, 0.04610482531406134, 0.03147819465466167]","[0.3083508434891701, 0.6866473898291587, 0.4195042136311531]","[0.4433191476762295, 0.8358653265237808, 0.5231983718276023]","[0.015048585364967226, 0.08421880233407031, 0.035403690856099734]","[true, false, true]","[0.1349683041870594, 0.14921793669462202, 0.10369415819644923]",0.904089208514152,0.8123937848217379,False,True,False
37,"ours raw positive(s,anchor)-local-gate full-dataset score + shared NPE","[0.6096636652946472, 0.4053933620452881, 0.3033752739429474]","[0.6421429299044582, 0.3862540088273583, 0.29307959687411794]","[0.040512372555942915, 0.03965985787035876, 0.029944317088915647]","[0.5753331410884857, 0.31989925898611543, 0.2467061050236225]","[0.7068290370702743, 0.4521181745827198, 0.34464500069618226]","[0.03247926460981099, -0.01913935321792981, -0.010295677068829445]","[true, true, true]","[0.13149589598178868, 0.13221891559660437, 0.09793889567255976]",4.3285668167313907e-13,4.328477347572763e-13,True,False,False
