method,step,stage,train_loss,val_loss_raw,val_loss_ema,best_val_loss,best_source,lr_model,lr_gate,lr_rho,grad_norm
linear CS beta-conditioned DeepSets FSM,1500,joint,38.861446380615234,41.17642651367188,41.208842651367185,41.17642651367188,raw,0.0001,,,10.160775184631348
linear CS beta-conditioned DeepSets FSM,1600,joint,45.083404541015625,41.17017333984375,41.191912109375,41.17017333984375,raw,0.0001,,,11.038154602050781
linear CS beta-conditioned DeepSets FSM,1700,joint,41.457122802734375,41.11031799316406,41.165341430664064,41.11031799316406,raw,0.0001,,,29.889263153076172
linear CS beta-conditioned DeepSets FSM,1800,joint,41.432342529296875,41.08299462890625,41.14144665527344,41.08299462890625,raw,0.0001,,,31.845340728759766
linear CS beta-conditioned DeepSets FSM,1900,joint,37.825889587402344,41.13431884765625,41.136692138671876,41.08299462890625,raw,0.0001,,,24.342313766479492
linear CS beta-conditioned DeepSets FSM,2000,joint,43.01422882080078,41.14368981933594,41.12773779296875,41.08299462890625,raw,0.0001,,,7.329853057861328
linear CS beta-conditioned DeepSets FSM,2100,joint,45.286006927490234,41.111338256835936,41.11526794433594,41.08299462890625,raw,0.0001,,,28.741491317749023
linear CS beta-conditioned DeepSets FSM,2200,joint,42.4683952331543,41.04849755859375,41.095336181640626,41.04849755859375,raw,0.0001,,,27.78351593017578
linear CS beta-conditioned DeepSets FSM,2300,joint,38.23225402832031,41.034720458984374,41.07372021484375,41.034720458984374,raw,0.0001,,,22.299131393432617
linear CS beta-conditioned DeepSets FSM,2400,joint,42.16621017456055,41.033020874023435,41.04890979003906,41.033020874023435,raw,0.0001,,,18.246652603149414
linear CS beta-conditioned DeepSets FSM,2500,joint,39.52573776245117,40.953345703125,41.02963110351563,40.953345703125,raw,0.0001,,,43.45869064331055
linear CS beta-conditioned DeepSets FSM,2600,joint,42.35908126831055,40.99994189453125,41.022363525390624,40.953345703125,raw,0.0001,,,25.852766036987305
linear CS beta-conditioned DeepSets FSM,2700,joint,40.599273681640625,41.02013940429688,41.012627685546875,40.953345703125,raw,0.0001,,,34.8808708190918
linear CS beta-conditioned DeepSets FSM,2800,joint,39.67448425292969,40.94968493652344,40.98770166015625,40.94968493652344,raw,0.0001,,,30.389347076416016
linear CS beta-conditioned DeepSets FSM,2900,joint,44.352516174316406,40.92744812011719,40.97036242675781,40.92744812011719,raw,0.0001,,,40.27316665649414
linear CS beta-conditioned DeepSets FSM,3000,joint,35.98190689086914,40.95675036621094,40.95667602539063,40.92744812011719,raw,0.0001,,,30.858753204345703
linear CS beta-conditioned DeepSets FSM,3100,joint,41.237945556640625,40.9100244140625,40.944849365234376,40.9100244140625,raw,0.0001,,,25.701494216918945
linear CS beta-conditioned DeepSets FSM,3200,joint,42.3748779296875,41.01596435546875,40.93029467773437,40.9100244140625,raw,0.0001,,,35.210933685302734
linear CS beta-conditioned DeepSets FSM,3300,joint,43.05546569824219,40.903645141601565,40.91417553710937,40.903645141601565,raw,0.0001,,,18.960453033447266
linear CS beta-conditioned DeepSets FSM,3400,joint,40.11592102050781,40.87993872070312,40.9050966796875,40.87993872070312,raw,0.0001,,,26.039579391479492
linear CS beta-conditioned DeepSets FSM,3500,joint,42.03055191040039,40.83711889648438,40.88247265625,40.83711889648438,raw,0.0001,,,29.61838722229004
linear CS beta-conditioned DeepSets FSM,3600,joint,41.78861999511719,40.88018481445312,40.856340576171874,40.83711889648438,raw,0.0001,,,28.157455444335938
linear CS beta-conditioned DeepSets FSM,3700,joint,39.699737548828125,40.94859777832031,40.84390661621094,40.83711889648438,raw,0.0001,,,14.880403518676758
linear CS beta-conditioned DeepSets FSM,3800,joint,39.69343566894531,40.855349365234375,40.82690185546875,40.82690185546875,ema,0.0001,,,23.05266761779785
linear CS beta-conditioned DeepSets FSM,3900,joint,39.33213806152344,40.806443603515625,40.81861059570313,40.806443603515625,raw,0.0001,,,21.491878509521484
