truth_label,test_index,method,truth_u,truth_covariance,u_posterior_mean,covariance_posterior_mean,covariance_error,covariance_posterior_sd,covariance_q05,covariance_q95,covariance_covers90,extremal_ise
low,32,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2593378800951886,0.23527412958235985,0.22064028798717758]","[237.85200429135114,-16.99040473961473,127.81178273167482]","[3.787926715010343,-6.938032312300445,-2.2923619110682836]","[18.595406752173417,10.621746327802702,9.97653984317976]","[210.6689703273326,-31.664834555944793,115.05359907331287]","[271.61182529260685,1.1048970025373186,145.29394099199362]","[true,true,true]",2.7355132735034103e-05
low,33,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.21999951848018395,0.2551575512297445,0.2485721322869282]","[224.89006028143234,-10.120827162614521,131.46724218937177]","[-9.174017294908452,-0.0684547353002376,1.3630975466286657]","[14.525511208241195,10.81898199050321,10.747450158335516]","[205.81560090173252,-26.37250553392192,116.29999506509989]","[252.0668919109966,9.06308961210472,150.50250806021683]","[true,true,true]",1.6789448231393074e-05
low,34,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.24162229374741456,0.28714612840921816,0.2793387400432794]","[232.00525421683724,-2.8400463339714643,137.6258219673666]","[-2.058823359503549,7.212326093342819,7.521677324623482]","[17.90609653500832,11.5009181871456,12.910583428148094]","[207.21618724572508,-20.96344175705944,118.83242208668548]","[264.53060748443085,17.071350817603996,159.26755206507266]","[true,true,true]",4.591416461058508e-05
low,35,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2711142176224414,0.277219874189582,0.23365855368950716]","[242.04454177905015,-14.484761510802354,135.6740560850855]","[7.980464202709356,-4.43238908348807,5.569911442342402]","[21.903187473301163,9.783409708532735,12.021527633098431]","[211.09359088438964,-29.480861579970938,118.20757654648473]","[281.80044694608785,1.782666386456667,156.4198354432445]","[true,true,true]",3.0218547534283217e-05
low,36,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.2684749939135707,0.34570334511495293,0.20876063065098482]","[241.11810501302747,-21.73071335891819,149.4405181895517]","[7.054027436686681,-11.678340931603907,19.336373546808602]","[21.357599178288844,9.071015519301481,14.467218733733887]","[210.31534464322215,-35.154088246517375,127.25485953283145]","[279.13150811456836,-5.9614614609449275,173.69761379368077]","[true,true,true]",0.00022743795402039454
low,37,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.260923045277266,0.2697843302154401,0.2993352815061997]","[238.5642375735501,2.1164155919303704,134.310109700422]","[4.500159997209295,12.168788019244655,4.205965057678895]","[20.9786671321916,11.412934697631936,12.586929423252272]","[208.7743556352127,-15.708919718929584,117.08510569417908]","[275.9584882492529,22.028402418904285,155.416140181624]","[true,true,true]",7.243225354882273e-05
low,38,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.36059535343547905,0.3649657045599842,0.2569344474672521]","[274.71168468594453,-9.811913730909458,153.63609332850686]","[40.64760710960374,0.24045869640482564,23.53194868576375]","[28.392761780913826,12.123103823831059,16.00097524966562]","[230.6829456403566,-29.0224665296914,129.4967076002062]","[323.9213695173477,10.972967787904029,181.52243645368765]","[true,true,true]",0.0006482676539682467
low,39,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.3768604087825871,0.24268935475075637,0.21597642024545993]","[280.8877324124676,-19.924433726225118,129.14284350505562]","[46.82365483612679,-9.872061298910834,-0.9613011376874852]","[27.510751556374476,9.222766434825486,9.875841533184088]","[238.83893977558395,-33.92461322920446,115.51535646737564]","[328.53479209092455,-3.9492892221149227,147.23527966218217]","[false,true,true]",0.00027344999855129427
low,40,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.33471481548551857,0.3088573193094403,0.2539582613871285]","[264.6969049975974,-9.990953331588024,141.88612483149814]","[30.63282742125662,0.0614190957262597,11.781980188755028]","[24.910790575249067,11.307713195095875,13.31061086607426]","[226.00901442942444,-27.435418222794688,121.6962238987553]","[307.789987831516,9.644808021077631,164.51792018303345]","[true,true,true]",0.00025245727404035924
low,41,Raw-data FSM,"[0.25,0.25,0.25]","[234.0640775763408,-10.052372427314284,130.1041446427431]","[0.35648795249755516,0.2843112304830039,0.27139038604376986]","[273.13740157020675,-5.331541172720003,137.1164582572994]","[39.073323993865955,4.72083125459428,7.012313614556291]","[28.243416866011295,12.215362196609016,13.179753268869618]","[229.34131752925975,-24.920670604746732,118.24204134998519]","[321.7782980008268,15.339691286854476,159.98894201297176]","[true,true,true]",0.00027599619448851755
