test_index,method,u_true,posterior_mean,posterior_sd,q05,q95,posterior_mean_error,covers90,width90,pilot_raw_residual,pilot_projected_residual,pilot_converged,pilot_boundary,pilot_fallback
10,ours linear full-dataset score + shared NPE,"[0.25125929713249207, 0.38562771677970886, 0.21676889061927795]","[0.21079344515432977, 0.4381688573557144, 0.24324973885279175]","[0.04576507347883479, 0.04582115692908506, 0.03350093396951419]","[0.15632917425595225, 0.36505951479077337, 0.19499143023043872]","[0.3019267551600933, 0.5174589255452156, 0.2971050222218037]","[-0.0404658519781623, 0.05254114057600556, 0.026480848233513793]","[true, true, true]","[0.14559758090414107, 0.1523994107544422, 0.10211359199136497]",0.6636897216827535,0.43986370589681345,False,True,False
11,ours linear full-dataset score + shared NPE,"[0.5106925964355469, 0.2429908812046051, 0.23846474289894104]","[0.4927324778327357, 0.25205659304344347, 0.2354371647577473]","[0.04235881353922634, 0.04111256505685771, 0.029802140467631508]","[0.4244521990418434, 0.18579056786373258, 0.1885065189190209]","[0.5615427115559578, 0.32125760741531845, 0.2865466207265853]","[-0.01796011860281116, 0.009065711838838364, -0.0030275781411937264]","[true, true, true]","[0.13709051251411442, 0.13546703955158587, 0.09804010180756442]",1.0338878527978265e-13,1.0348390930453103e-13,True,False,False
12,ours linear full-dataset score + shared NPE,"[0.5193067789077759, 0.5003087520599365, 0.683062732219696]","[0.4979431390798084, 0.4227346821117412, 0.6162291202759747]","[0.04058669724186221, 0.04423390351046412, 0.029667149757037808]","[0.4309195210039616, 0.35074895069003104, 0.5680924463272095]","[0.5646237567067146, 0.496465602517128, 0.6661611858010292]","[-0.021363639827967462, -0.07757406994819532, -0.0668336119437214]","[true, false, false]","[0.13370423570275303, 0.14571665182709698, 0.09806873947381978]",4.235079115149195e-06,4.2350791151030645e-06,True,False,False
13,ours linear full-dataset score + shared NPE,"[0.344510018825531, 0.21302829682826996, 0.6894166469573975]","[0.3143039508588251, 0.22938699312334498, 0.6780451543009293]","[0.0436504941977471, 0.04611379784594263, 0.03347893035701281]","[0.2462070422619581, 0.16318902335129679, 0.6268721523880958]","[0.3886520889401436, 0.31358478650450705, 0.7379017651081086]","[-0.030206067966705885, 0.016358696295075026, -0.011371492656468196]","[true, true, true]","[0.14244504667818547, 0.15039576315321027, 0.11102961272001277]",2.600655129978842e-13,2.599105134369664e-13,True,False,False
14,ours linear full-dataset score + shared NPE,"[0.6299529671669006, 0.7262356281280518, 0.29544034600257874]","[0.647719599388839, 0.7185647801065435, 0.2763547627048955]","[0.04844891484425337, 0.0506806799753589, 0.03486748856450742]","[0.5668962052464485, 0.6344785535335541, 0.22117843855172395]","[0.7262114253640175, 0.8015095168352127, 0.33483433514833455]","[0.017766632221938417, -0.007670848021508303, -0.01908558329768323]","[true, true, true]","[0.15931522011756905, 0.16703096330165856, 0.1136558965966106]",9.477877614475839e-09,9.477877543510084e-09,True,False,False
15,ours linear full-dataset score + shared NPE,"[0.6257633566856384, 0.4353993535041809, 0.5225273966789246]","[0.661922374573947, 0.4289771077528603, 0.4919728341132397]","[0.040816487313203434, 0.042366921192744045, 0.02959294953182691]","[0.596024790406227, 0.3590268281102181, 0.44426574498414995]","[0.7287559345364572, 0.5001830315589905, 0.5413940194249154]","[0.03615901788830855, -0.00642224575132061, -0.03055456256568484]","[true, true, true]","[0.13273114413023013, 0.1411562034487724, 0.09712827444076544]",7.944238983747307e-08,7.944238987753202e-08,True,False,False
16,ours linear full-dataset score + shared NPE,"[0.4062992334365845, 0.3642887473106384, 0.5384490489959717]","[0.30088785060111395, 0.3914383838242283, 0.5312649974459408]","[0.04240283374595595, 0.04227695532174127, 0.030463967020760013]","[0.23321131028234957, 0.3234685073792934, 0.48145968392491334]","[0.3719218307733537, 0.4617549741268158, 0.5809782949090004]","[-0.10541138283547052, 0.02714963651358987, -0.007184051550030879]","[false, true, true]","[0.13871052049100416, 0.13828646674752243, 0.0995186109840871]",8.241737453102477e-13,8.24167329047476e-13,True,False,False
17,ours linear full-dataset score + shared NPE,"[0.38778775930404663, 0.8120824098587036, 0.22024323046207428]","[0.40100261088579986, 0.7584454878342127, 0.23658463253340478]","[0.05071269129871835, 0.05001444380304928, 0.0339627481009626]","[0.31741143137216565, 0.6697888180613518, 0.18064639737829563]","[0.4835046854615211, 0.8353670945763587, 0.29378712981939314]","[0.013214851581753229, -0.053636922024490885, 0.016341402071330502]","[true, true, true]","[0.16609325408935544, 0.1655782765150069, 0.11314073244109751]",0.3709501904959318,0.3397780096844576,False,True,False
18,ours linear full-dataset score + shared NPE,"[0.19025202095508575, 0.29576194286346436, 0.38309207558631897]","[0.26481969771554814, 0.3269848450920732, 0.4056051914200183]","[0.04212938302154804, 0.042084073729093265, 0.02784693314786073]","[0.19645212344825266, 0.2585020557045936, 0.3608772668242454]","[0.33503344997763634, 0.39732742309570307, 0.4511859050393104]","[0.07456767676046239, 0.03122290222860885, 0.022513115833699304]","[false, true, true]","[0.13858132652938368, 0.13882536739110946, 0.09030863821506496]",7.912861597547373e-06,7.912861597558414e-06,True,False,False
19,ours linear full-dataset score + shared NPE,"[0.7834888696670532, 0.39959755539894104, 0.4196101725101471]","[0.758256573246718, 0.3337536051554239, 0.34429814362056493]","[0.06306549675175888, 0.050381990575759386, 0.03161585099649819]","[0.6369208198785781, 0.25469655252993106, 0.2938449509441853]","[0.8371567112207413, 0.4144160568714142, 0.39792825043201446]","[-0.0252322964203352, -0.06584395024351714, -0.07531202888958216]","[true, true, false]","[0.20023589134216324, 0.15971950434148313, 0.10408329948782918]",1.6568568273906026,1.1540065461200344,False,True,False
