pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.1,100,raw-block DeepSets FSM pilot+score NPE,-1.4940003825547574,interior,-0.1681566834449768,0.21449272334575653,0.10320247709751129,0.10131454116951828,0.07249680534005165,0.2001141756772995,0.4134682506322862,0.013108583699127941,6.832090153791287e-07,0.0026457734080714067,1.0
0.1,101,exact likelihood grid,-2.574108023803574,interior,nan,0.18483399248203558,0.08951316526489674,0.08951316526489674,0.06630484926916581,0.17028929920656838,0.35354830497255824,0.007196806280442068,0.0,0.0,1.0
0.1,101,raw-block DeepSets FSM pilot+score NPE,-2.574108023803574,interior,0.262376070022583,0.1698373705148697,0.08600391447544098,0.08951316526489674,0.0666425060480833,0.1516868770122528,0.3371724769473076,0.004877258320431189,0.00022489867042608256,0.015265371102836704,1.0
0.1,102,exact likelihood grid,-2.9308411090321433,interior,nan,0.14692857247650773,0.07766250760999387,0.07766250760999387,0.05704457270444448,0.12863089776681264,0.2995968242542582,0.002202290914682838,0.0,0.0,1.0
0.1,102,raw-block DeepSets FSM pilot+score NPE,-2.9308411090321433,interior,0.26258546113967896,0.14477305114269257,0.0738786980509758,0.07766250760999387,0.06133698727935553,0.12654507905244827,0.29581598043441776,0.0020046261086261634,4.646272220532301e-06,0.004265789105138513,1.0
0.1,103,exact likelihood grid,-1.7587538615694356,interior,nan,0.13679283591987473,0.07681269091332749,0.07681269091332749,0.055008324569272404,0.11549183571765223,0.2911855480801427,0.001353712775026824,0.0,0.0,1.0
0.1,103,raw-block DeepSets FSM pilot+score NPE,-1.7587538615694356,interior,-0.4372093081474304,0.15446779131889343,0.0815386027097702,0.07681269091332749,0.058120872266590594,0.13691691309213638,0.31603296399116537,0.002966740291158522,0.0003124040483573003,0.017743099637592383,1.0
0.1,104,exact likelihood grid,-2.7367487840372196,interior,nan,0.1307958910428947,0.0719893627567532,0.0719893627567532,0.05461090538238299,0.11066410480971356,0.2755849295186795,0.0009483869051258425,0.0,0.0,1.0
0.1,104,raw-block DeepSets FSM pilot+score NPE,-2.7367487840372196,interior,0.05858835577964783,0.13637866079807281,0.06953487545251846,0.0719893627567532,0.05890619996935129,0.11862149834632874,0.27716278582811366,0.0013234069614612395,3.116731813933136e-05,0.00612992347035316,1.0
0.1,105,exact likelihood grid,-1.6757964289625658,interior,nan,0.16540370617496494,0.0905391005398556,0.0905391005398556,0.058590138216714986,0.14493932133528267,0.34260945076213684,0.004277644781421146,0.0,0.0,1.0
0.1,105,raw-block DeepSets FSM pilot+score NPE,-1.6757964289625658,interior,-0.3568829894065857,0.16817274689674377,0.0864420086145401,0.0905391005398556,0.06092327684164047,0.15203998982906342,0.3373598992824556,0.004647523419447487,7.667586518869432e-06,0.004750468049671978,1.0
0.1,106,exact likelihood grid,-1.4797289849791466,interior,nan,0.246972512456351,0.1182618892341895,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.46375049802479307,0.021600919417732244,0.0,0.0,1.0
0.1,106,raw-block DeepSets FSM pilot+score NPE,-1.4797289849791466,interior,-0.10392135381698608,0.2261909693479538,0.10541297495365143,0.1182618892341895,0.07803493589162827,0.21263540536165237,0.41867106109857577,0.015924160744976212,0.0004318725339661709,0.02086104702451808,1.0
0.1,107,exact likelihood grid,-1.6243569927096362,interior,nan,0.21512125132135626,0.09180351671360974,0.09180351671360974,0.08461520152293013,0.20391729175585505,0.38351510892795754,0.01325290250579487,0.0,0.0,1.0
0.1,107,raw-block DeepSets FSM pilot+score NPE,-1.6243569927096362,interior,0.13621550798416138,0.23925016820430756,0.10837184637784958,0.09180351671360974,0.08245320171117783,0.22576232999563217,0.44125822335481646,0.019390609344927947,0.0005822046299443721,0.024472426395997747,1.0
0.1,108,exact likelihood grid,-1.419377001621663,interior,nan,0.17893486263643124,0.09919539889972874,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.006230712539432268,0.0,0.0,1.0
0.1,108,raw-block DeepSets FSM pilot+score NPE,-1.419377001621663,interior,-0.4464370608329773,0.18299418687820435,0.09453626722097397,0.09919539889972874,0.06320524588227272,0.16538622230291367,0.36582118570804595,0.006888035055574305,1.647811329984679e-05,0.005916930933098023,1.0
0.1,109,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.13708526761454615,0.074577607492677,0.074577607492677,0.055344223342857254,0.11741462966401364,0.28590915987662574,0.0013753170740425048,0.0,0.0,1.0
0.1,109,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.026812642812728882,0.12723620235919952,0.0635702908039093,0.074577607492677,0.058318662084639074,0.11029375344514847,0.2573057040572167,0.0007418107189512654,9.700408640407604e-05,0.010983535728777334,1.0
0.3,100,exact likelihood grid,-0.6905444102304925,interior,nan,0.33474340785445966,0.12437321564844873,0.12437321564844873,0.14001821455866995,0.3282955568611914,0.5518483385897567,0.00120710438934133,0.0,0.0,1.0
