test_index,method,truth,estimate,sd,q05,q95,covers90,width90
27,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[363.77010255094416,73.56746890346953,208.00053351364681]","[47.005268811920985,30.62745120587136,29.248455939806767]","[290.81418295850835,26.020757460142562,161.88951504200844]","[447.0228882508932,125.4090859530876,257.049953381291]","[true,true,true]","[156.20870529238482,99.38832849294504,95.16043833928256]"
28,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[312.28600349754197,-3.7731271132269852,174.84605107687435]","[45.69426633439319,21.985182124505094,26.097740940172766]","[246.27669053016987,-36.24192506808764,137.68661731358443]","[396.50462360308455,36.70419067725429,222.24322252015136]","[true,false,true]","[150.22793307291468,72.94611574534193,84.55660520656693]"
29,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[359.2212580756775,67.46640337832197,175.8481879529005]","[45.63014339384531,27.727797319060123,25.57475269743958]","[290.6117961504449,23.684842156872644,140.143988979653]","[442.8311281326153,112.83678670050317,221.67823189853456]","[true,true,true]","[152.2193319821704,89.15194454363052,81.53424291888157]"
30,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[358.1975846243412,36.665824220103204,139.33330018502846]","[46.18589616818596,23.735750295675363,17.058233207888645]","[288.36377371296015,-1.431552976867414,117.94938284825257]","[439.52307594731485,76.08270382958047,171.7256609859642]","[true,true,false]","[151.1593022343547,77.51425680644788,53.77627813771163]"
31,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[365.8179115956641,101.88391140619501,198.52876192501873]","[45.41531604823897,28.802769909142683,27.469321838740385]","[295.99008563334667,57.52997632433273,156.44031762375616]","[444.7450823577683,151.17016183762513,244.53323914653308]","[true,true,true]","[148.75499672442163,93.64018551329241,88.09292152277692]"
32,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[304.2879226415371,50.33944584230246,193.22655612457046]","[42.94408206634325,27.29238620973685,27.324647543456887]","[242.12128947420496,9.74125036401289,153.45783708238218]","[387.37465867508536,96.5377031391834,241.69859386924128]","[true,true,true]","[145.2533692008804,86.79645277517052,88.2407567868591]"
33,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[293.9712796337547,106.60177158497227,204.39938042139403]","[37.31849521956058,24.572760778338406,26.080006462744944]","[238.31729918482412,67.44356328365788,163.1952394155848]","[361.0886050625294,147.94322457730274,247.75151854730396]","[true,true,true]","[122.77130587770526,80.49966129364486,84.55627913171915]"
34,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[273.90305015537797,39.17937268058372,168.3055982538748]","[37.947036695542735,23.56225841660427,21.919668119971355]","[221.41157476519163,3.610812303409415,138.15297385076204]","[346.8004480227457,80.51300768799243,208.8436954213072]","[true,true,true]","[125.38887325755405,76.90219538458301,70.69072157054515]"
35,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[345.7475594125306,59.15568741684813,170.81916353457086]","[46.058955320717985,27.184341935725612,24.256376328167132]","[277.9598590730572,18.56120291458515,137.51437578296074]","[431.2620464709233,104.10157463569993,215.06470782322944]","[true,true,true]","[153.30218739786608,85.54037172111478,77.5503320402687]"
36,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[318.41323453377856,59.6917088296118,166.57922337341827]","[41.91738133292621,25.71114719774256,22.575406915277828]","[256.6051290890928,20.993880280431505,136.2353166151094]","[395.6090462335153,103.1665688555522,208.52184037413733]","[true,true,true]","[139.00391714442247,82.1726885751207,72.28652375902792]"
37,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[337.8201735331235,68.4632490973601,227.8731323514022]","[47.61829444057885,31.177401231360758,29.55296571455615]","[265.7726040914354,20.763450249125864,178.42169818130927]","[425.7907533671609,121.87293980665468,277.0831843097255]","[true,true,true]","[160.01814927572548,101.10948955752882,98.66148612841621]"
38,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[351.4821828433022,55.988279247748245,181.52937377225194]","[46.538874726235775,28.302586043469866,26.321371186844125]","[283.27345345113145,13.241465917352931,144.11551333033344]","[436.6057240489875,103.08303864054464,229.21161661724335]","[true,true,true]","[153.33227059785605,89.84157272319172,85.09610328690991]"
39,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[402.9448578218665,43.64747310709048,196.4870711337341]","[50.14326684542473,30.845697532639253,29.209839915999105]","[325.62404485441147,-5.542178731620811,152.52473536917412]","[488.897559002201,95.58203209822773,246.95944144842082]","[true,true,true]","[163.2735141477895,101.12421082984854,94.4347060792467]"
40,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[291.199493395017,56.332639006117766,194.81077802291313]","[39.563753839584514,26.294357067132324,26.45796137751581]","[233.53913079944502,17.135990427563705,155.59803785391375]","[364.83781287844704,101.66798558477088,240.71219831571818]","[true,true,true]","[131.29868207900202,84.53199515720718,85.11416046180443]"
41,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[359.1235895555527,43.62931138910541,156.52114291129408]","[47.173272252508525,26.556995890443588,21.958036247093162]","[287.9545112038439,2.6432243450475204,128.74351488288528]","[445.27367451217026,88.50583778262468,198.56628070080535]","[true,true,true]","[157.31916330832638,85.86261343757717,69.82276581792007]"
42,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[348.54588312128476,80.48965788269389,171.89200382495022]","[44.54809001743649,25.95954105466472,23.98947719691463]","[281.0752391954834,40.10447776918741,138.22752626617412]","[428.73179090787147,123.35017917242406,215.11049182474196]","[true,true,true]","[147.65655171238808,83.24570140323665,76.88296555856783]"
43,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[348.01965515366044,46.900045319000256,229.80424082035745]","[49.5056356712807,32.14789361887599,30.209961528923532]","[273.2418383977763,-2.4237432600886715,177.98211326288177]","[437.7190678292177,101.29194397968068,279.4442048324893]","[true,true,true]","[164.4772294314414,103.71568723976935,101.46209156960751]"
44,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[346.28500139338945,77.26773386549873,141.26681064011566]","[42.92757879826003,22.77925517765385,16.963478799176073]","[281.98921233783864,42.15288714248763,119.81944092893603]","[423.2502616339405,115.00058892217878,173.21559903512338]","[true,true,false]","[141.26104929610187,72.84770177969115,53.39615810618734]"
45,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[296.52741198951907,38.59387386482819,172.59987822862647]","[41.676290345867535,24.980173178415306,23.530887417802962]","[237.41604344692385,1.5273803930826444,139.79602298773034]","[372.9766172788438,82.36090093907417,214.89474244247708]","[true,true,true]","[135.56057383191992,80.83352054599153,75.09871945474674]"
46,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[316.04999472226496,80.33366101616325,188.52459450384606]","[41.22775217322024,26.62747953307477,26.35248585239035]","[254.30779399224076,39.78975963934329,149.452812906303]","[391.049920593256,125.25722729755087,233.96163861624188]","[true,true,true]","[136.74212660101523,85.46746765820758,84.50882570993889]"
47,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[245.73511440143426,50.24081738888369,138.94871215912687]","[26.85913573670983,18.213886347986122,14.80685565855487]","[210.42255942946468,22.37259520891821,118.84647294583921]","[294.55392970025423,80.66566730232512,165.58350527674983]","[false,true,false]","[84.13137027078955,58.293072093406906,46.73703233091062]"
48,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[354.6680042432281,82.27790642886377,209.88850350846798]","[46.6914836425542,29.92267159164492,29.72763687208398]","[282.97842593056055,36.39360544506252,163.2927306247186]","[436.27429979490586,134.02449061709717,259.9027955885305]","[true,true,true]","[153.2958738643453,97.63088517203465,96.61006496381194]"
49,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[366.7315395067679,85.70241481421726,202.57632997166394]","[47.231282935858104,30.256313004767186,28.70233102174922]","[294.12627526670053,39.03409792384563,158.12345330975154]","[449.66637501562906,137.49053440068002,251.87627561111378]","[true,true,true]","[155.54009974892853,98.4564364768344,93.75282230136224]"
50,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[378.72661001612033,104.84613847915637,211.12043561788377]","[46.7456626713948,30.678474527589643,28.643651349564237]","[307.2688253629606,56.89515817535079,163.90580720918595]","[459.457439923757,157.71803109711095,260.27068059237195]","[true,true,true]","[152.1886145607964,100.82287292176017,96.364873383186]"
