pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.1,105,raw data NPE,0.1531551629304886,0.09848342090845108,0.03265792438233137,0.0597241273149848,0.12763044983148575,0.3702858492732049,0.0028254713461667875,0.004844887274684379,0.06967174809383869,1.0
0.1,106,exact likelihood grid,0.18599383849482193,0.07018734380865448,0.07018734380865448,0.08464488858550913,0.17818026535211048,0.3134810729578741,0.007394940259073517,0.0,0.0,1.0
0.1,106,raw data NPE,0.302524209022522,0.12702232599258423,0.07018734380865448,0.13131771236658096,0.2808905690908432,0.5438677042722702,0.04101605524019817,0.013579327255323063,0.11659709590610551,0.0
0.1,107,exact likelihood grid,0.18884383142301794,0.07027294923240585,0.07027294923240585,0.08741763507377459,0.18101751101588548,0.31647092586034453,0.00789322638192163,0.0,0.0,1.0
0.1,107,raw data NPE,0.2519587576389313,0.1334616243839264,0.07027294923240585,0.08630471378564834,0.22407089173793793,0.5184448927640916,0.023091464023167453,0.003983493911240183,0.0634285973994645,1.0
0.1,108,exact likelihood grid,0.1426076737825841,0.05971971391035383,0.05971971391035383,0.06296083570985017,0.13310499022203284,0.25465572596580677,0.001815413865163104,0.0,0.0,1.0
0.1,108,raw data NPE,0.17704351246356964,0.11535349488258362,0.05971971391035383,0.0639940045773983,0.14060653001070023,0.4389895960688593,0.00593570281272421,0.00118582698566286,0.034502783821838176,1.0
0.1,109,exact likelihood grid,0.14261276451011906,0.060559558600485314,0.060559558600485314,0.0626291292114266,0.1326243378237185,0.25667123396633407,0.0018158476991948622,0.0,0.0,1.0
0.1,109,raw data NPE,0.23411723971366882,0.11707964539527893,0.060559558600485314,0.08896219693124294,0.20921655744314194,0.48077360391616825,0.017987433988413706,0.008373068982277054,0.09157122283884724,1.0
0.3,100,exact likelihood grid,0.27823829698204466,0.08481298127439783,0.08481298127439783,0.14882659861285152,0.2724518212219317,0.42707917493940556,0.0004735717182416859,0.0,0.0,1.0
0.3,100,raw data NPE,0.3081934452056885,0.12722663581371307,0.08481298127439783,0.12933283522725106,0.29190847277641296,0.5455185204744339,6.713254433861966e-05,0.000897310905100471,0.038053123854215616,1.0
0.3,101,exact likelihood grid,0.3503697201065057,0.09569708915559326,0.09569708915559326,0.20171322902288327,0.34516832481118115,0.5167533992014791,0.0025371087036077248,0.0,0.0,1.0
0.3,101,raw data NPE,0.3835601806640625,0.13863296806812286,0.09569708915559326,0.14822953715920448,0.3797186613082886,0.6136815160512924,0.0069823037926107666,0.0011016066720227343,0.04792091702186225,1.0
0.3,102,exact likelihood grid,0.40191269674079444,0.09430518661997984,0.09430518661997984,0.2527369994752911,0.39813848255668455,0.5642952745864422,0.010386197756981136,0.0,0.0,1.0
0.3,102,raw data NPE,0.38458389043807983,0.13891679048538208,0.09430518661997984,0.15044483095407485,0.3861967474222183,0.6076077312231064,0.007154434521641095,0.00030028752787700144,0.03941386051825593,1.0
0.3,103,exact likelihood grid,0.21618540307833123,0.07385089182249499,0.07385089182249499,0.10729129646895168,0.20917358932531574,0.3486069677383823,0.007024886657141806,0.0,0.0,1.0
0.3,103,raw data NPE,0.3431110978126526,0.12942618131637573,0.07385089182249499,0.16071957796812059,0.32843418419361115,0.5832636326551438,0.0018585667546120997,0.016110131983790132,0.12699235002078593,1.0
0.3,104,exact likelihood grid,0.3576915696968074,0.08832766608788102,0.08832766608788102,0.21969257169296252,0.3533559267481311,0.5103059962472744,0.0033283172140815844,0.0,0.0,1.0
0.3,104,raw data NPE,0.373536080121994,0.12841655313968658,0.08832766608788102,0.1781269870698452,0.36706677079200745,0.597761905193329,0.0054075550797083255,0.00025104851061384816,0.037028144473592116,1.0
0.3,105,exact likelihood grid,0.19502355032783908,0.07900053904568383,0.07900053904568383,0.08216524766986472,0.18566673174527643,0.339347455009102,0.011020054985771733,0.0,0.0,1.0
0.3,105,raw data NPE,0.21323920786380768,0.11833963543176651,0.07900053904568383,0.0805129561573267,0.18300172686576843,0.47381359934806827,0.007527435052099569,0.0003318101794676896,0.02261024321476557,1.0
0.3,106,exact likelihood grid,0.23145227285175293,0.07829834958096224,0.07829834958096224,0.11478236136022786,0.22462823488671457,0.37101524876484215,0.004698790897190526,0.0,0.0,1.0
0.3,106,raw data NPE,0.32124972343444824,0.12634018063545227,0.07829834958096224,0.14177553728222847,0.30439792573451996,0.5528449386358261,0.0004515507460405393,0.008063582131151607,0.08986406032681013,1.0
0.3,107,exact likelihood grid,0.31138634027123574,0.08483208618743872,0.08483208618743872,0.18120971707273517,0.3060032683235913,0.45966281131703346,0.00012964874477236504,0.0,0.0,1.0
0.3,107,raw data NPE,0.3535349369049072,0.13784626126289368,0.08483208618743872,0.13741226345300675,0.34610043466091156,0.5891593337059022,0.002865989469412399,0.0017765041981879434,0.057366269101604556,1.0
0.3,108,exact likelihood grid,0.28332389215332504,0.08368126425730318,0.08368126425730318,0.1559300451465895,0.2774808030009709,0.4303629994338166,0.00027809257291393376,0.0,0.0,1.0
0.3,108,raw data NPE,0.23495644330978394,0.1387527883052826,0.08368126425730318,0.07360231280326843,0.19552934914827347,0.5171925008296967,0.004230664266913349,0.0023394101076325657,0.07288692064045899,1.0
0.3,109,exact likelihood grid,0.30773430518665507,0.08697765233785458,0.08697765233785458,0.1740237679841861,0.3023314967469954,0.4596098560185298,5.981947672031963e-05,0.0,0.0,1.0
0.3,109,raw data NPE,0.41670742630958557,0.1314283013343811,0.08697765233785458,0.17834920436143875,0.4223712235689163,0.6230678498744965,0.013620623355807349,0.011875141127272882,0.1091714648921612,1.0
0.5,100,exact likelihood grid,0.5056881183317793,0.09150352481892719,0.09150352481892719,0.35131860228835954,0.5073320593253068,0.6546043491389395,3.235469015632362e-05,0.0,0.0,1.0
0.5,100,raw data NPE,0.41466549038887024,0.12297508865594864,0.09150352481892719,0.21022308841347695,0.416644886136055,0.613876423239708,0.0072819785305719975,0.008285118797633247,0.09095859541036588,1.0
0.5,101,exact likelihood grid,0.533973029840678,0.08908650352739585,0.08908650352739585,0.3790904298491521,0.5386338086207232,0.6717771287482991,0.0011541667565555952,0.0,0.0,1.0
