truth_index,truth_label,method,grid_index,radius,angle_degrees,h_x,h_y,truth_delta,mean_estimated_delta,mse_across_datasets,coverage95,mean_width95
0,low,Linear,45,42.678458852212536,112.5,-16.33233912161694,39.429754612684306,1.9252992482973035,1.9218276563959207,5.267892917946448e-05,0.97,0.036209019665881144
0,low,Linear,46,42.678458852212536,135.0,-30.17822766499052,30.178227664990523,1.8918449140050242,1.8866975067893688,8.07914536767791e-05,0.99,0.04187498907487946
0,low,Linear,47,42.678458852212536,157.5,-39.429754612684306,16.332339121616947,1.8501433568683374,1.8442681703088157,0.00011830258000907207,1.0,0.047508778031499575
0,low,Linear,48,47.71923537736118,0.0,47.71923537736118,0.0,1.8817432049330154,1.8780192413438874,0.00010680441916350637,0.96,0.046793645180948175
0,low,Linear,49,47.71923537736118,22.5,44.086824872232505,18.261360784046197,1.9091435798749568,1.907363246285463,8.964577171549686e-05,0.92,0.043251069656751275
0,low,Linear,50,47.71923537736118,45.0,33.742594928369094,33.74259492836909,1.942350534611589,1.941163809858662,5.007498547434184e-05,0.96,0.03274255488229116
0,low,Linear,51,47.71923537736118,67.5,18.2613607840462,44.086824872232505,1.9604693261244115,1.9591732731127596,2.7496073569180447e-05,0.99,0.02625014925979174
0,low,Linear,52,47.71923537736118,90.0,2.9219604431322252e-15,47.71923537736118,1.9638528609656654,1.9620958715253227,2.3039345481067888e-05,0.97,0.024177856494349934
0,low,Linear,53,47.71923537736118,112.5,-18.261360784046193,44.086824872232505,1.9537172509322558,1.9509738889029649,3.118428857047291e-05,0.97,0.027599322846002083
0,low,Linear,54,47.71923537736118,135.0,-33.74259492836909,33.742594928369094,1.9275516708453666,1.9232465661270546,5.492497565198287e-05,0.99,0.034252325477466594
0,low,Linear,55,47.71923537736118,157.5,-44.086824872232505,18.2613607840462,1.8926287116386757,1.8874208220766517,9.057848660381814e-05,1.0,0.041336424742178336
0,low,Linear,56,52.907051514897304,0.0,52.907051514897304,0.0,1.9167193673228695,1.913446055346244,7.711589494458056e-05,0.96,0.03961308126396961
0,low,Linear,57,52.907051514897304,22.5,48.87974202013389,20.246652070037523,1.9391692805898593,1.937579806292697,5.891119072328241e-05,0.92,0.03486023317729905
0,low,Linear,58,52.907051514897304,45.0,37.41093489876989,37.41093489876988,1.964685559223386,1.963668724166296,2.7796537967688307e-05,0.96,0.024258293237767185
0,low,Linear,59,52.907051514897304,67.5,20.246652070037527,48.87974202013389,1.9775356506658963,1.9765356544365034,1.328970361151609e-05,0.99,0.018193242931023604
0,low,Linear,60,52.907051514897304,90.0,3.2396225645021553e-15,52.907051514897304,1.9798238755600313,1.9785416575304322,1.0915366761653445e-05,0.97,0.016509777004727756
0,low,Linear,61,52.907051514897304,112.5,-20.24665207003752,48.87974202013389,1.9728569328687409,1.9708165730494949,1.630824836573149e-05,0.97,0.019750501736973805
0,low,Linear,62,52.907051514897304,135.0,-37.41093489876988,37.41093489876989,1.9535822854291012,1.950161707343555,3.3632154492740655e-05,0.99,0.026565024374032548
0,low,Linear,63,52.907051514897304,157.5,-48.87974202013389,20.24665207003753,1.9257657263349375,1.921342183896567,6.353316068119094e-05,1.0,0.034401267384078865
0,low,Linear,64,58.608344115833866,0.0,58.608344115833866,0.0,1.9449646790242279,1.9422373067313616,4.957391056701339e-05,0.96,0.03161453424792214
0,low,Linear,65,58.608344115833866,22.5,54.14704956299722,22.428442291481616,1.9621749126961792,1.960839742582343,3.38219630091517e-05,0.92,0.026219453350710582
0,low,Linear,66,58.608344115833866,45.0,41.442357558420824,41.44235755842082,1.9802751829013752,1.9794723207336198,1.3017203121381686e-05,0.96,0.016476180400346683
0,low,Linear,67,58.608344115833866,67.5,22.42844229148162,54.14704956299722,1.9885409322251695,1.9878392900114983,5.259939981910399e-06,0.99,0.011397720998998358
