pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.5,106,raw data NPE,0.3516286611557007,0.11634714901447296,0.12396789512939269,0.17144059687852858,0.34605610370635986,0.5455861687660218,0.022014054190449883,0.0012638011213551568,0.03548652616034641,1.0
0.5,107,exact likelihood grid,0.40861981528952357,0.12021607230944338,0.12021607230944338,0.21148069660173333,0.40742159634555547,0.6106448152262495,0.00835033815772079,0.0,0.0,1.0
0.5,107,raw data NPE,0.4196870028972626,0.11384584754705429,0.12021607230944338,0.23382400274276735,0.41814757883548737,0.6085705608129501,0.00645017750362431,0.0001224826415448918,0.011782728846443675,1.0
0.5,108,exact likelihood grid,0.4833394393396188,0.11338943445637407,0.11338943445637407,0.28747317898233343,0.48842370875088487,0.6608287116430955,0.00027757428151824117,0.0,0.0,1.0
0.5,108,raw data NPE,0.4873974621295929,0.0986325740814209,0.11338943445637407,0.30691782236099246,0.5017887651920319,0.6275588899850846,0.00015882396077504524,1.6467548963949023e-05,0.016519148639436015,1.0
0.5,109,exact likelihood grid,0.5054539581439303,0.11762601374248115,0.11762601374248115,0.29329882373851657,0.5170910938618448,0.6753881177018639,2.9745659435744173e-05,0.0,0.0,1.0
0.5,109,raw data NPE,0.4807567894458771,0.11386487632989883,0.11762601374248115,0.27267778366804124,0.49283717572689056,0.647317174077034,0.0003703011524303079,0.0006099501417001024,0.02463275894334963,1.0
0.65,100,exact likelihood grid,0.5668529316649257,0.09450644457470442,0.09450644457470442,0.38716181470127264,0.5834433116889508,0.6881414660291149,0.006913434972717523,0.0,0.0,1.0
0.65,100,raw data NPE,0.5428662300109863,0.09860002994537354,0.09450644457470442,0.35580506175756454,0.5614870190620422,0.6733115494251252,0.011477644672058892,0.0005753618562350965,0.02393601065363519,1.0
0.65,101,exact likelihood grid,0.4797715331456455,0.11880711682394574,0.11880711682394574,0.2721715340389183,0.4866417031226993,0.6625754244052589,0.02897773092758407,0.0,0.0,1.0
0.65,101,raw data NPE,0.45716825127601624,0.1199418231844902,0.11880711682394574,0.25055948048830035,0.4667230099439621,0.6379516452550889,0.03718408331594962,0.000510908351277912,0.022538776897608817,0.0
0.65,102,exact likelihood grid,0.4154554703189747,0.12129254869593808,0.12129254869593808,0.2151809512069712,0.4150289947106372,0.6178997184479152,0.05501113640329338,0.0,0.0,0.0
0.65,102,raw data NPE,0.4462437629699707,0.12121646851301193,0.12129254869593808,0.23679051846265795,0.45402437448501587,0.6314627259969712,0.04151660412863749,0.0009479189643633761,0.030880963538085587,0.0
0.65,103,exact likelihood grid,0.5828322603144509,0.08300837306947924,0.08300837306947924,0.4252445191621708,0.5972750288416604,0.6895224971071223,0.0045115052544656906,0.0,0.0,1.0
0.65,103,raw data NPE,0.5503165125846863,0.0928163155913353,0.08300837306947924,0.38067716658115386,0.5689230859279633,0.6744654685258865,0.009936797663279014,0.001057273850425693,0.03245701597128931,1.0
0.65,104,exact likelihood grid,0.5548158063088883,0.09875955708647012,0.09875955708647012,0.3697856132035504,0.5699870343999721,0.6860176385660162,0.009060030728627079,0.0,0.0,1.0
0.65,104,raw data NPE,0.5339465737342834,0.09863921254873276,0.09875955708647012,0.3460171937942505,0.55186727643013,0.6682465374469757,0.013468397748012114,0.0004355248682529471,0.02080787886149036,1.0
0.65,105,exact likelihood grid,0.6438836967407102,0.0509494809734421,0.0509494809734421,0.5411508707063111,0.6583253676838199,0.696784060648843,3.740916555959905e-05,0.0,0.0,1.0
0.65,105,raw data NPE,0.6203106045722961,0.06041186302900314,0.0509494809734421,0.5069579929113388,0.6341584026813507,0.6901959776878357,0.000881460200862564,0.0005556906743805452,0.0235097667176064,1.0
0.65,106,exact likelihood grid,0.6015556341208992,0.07545470333358552,0.07545470333358552,0.45480816535737495,0.6175955282423465,0.6925203671011083,0.0023468565854281895,0.0,0.0,1.0
0.65,106,raw data NPE,0.5838896632194519,0.08150407671928406,0.07545470333358552,0.4305571481585503,0.6027186810970306,0.683923426270485,0.004370576629237493,0.0003120865278907821,0.017602384419440512,1.0
0.65,107,exact likelihood grid,0.6117203095978213,0.07336895105608848,0.07336895105608848,0.46585081008189066,0.6300858613271982,0.6942163545529662,0.001465334697286653,0.0,0.0,1.0
0.65,107,raw data NPE,0.5539235472679138,0.08106137812137604,0.07336895105608848,0.39942835420370104,0.5687744617462158,0.6626036167144775,0.009230684769580794,0.003340465735819814,0.05773344450329763,1.0
0.65,108,exact likelihood grid,0.6373756379496303,0.05659296064050608,0.05659296064050608,0.5232028880548241,0.6533631942729253,0.696395648710675,0.00015937451717881626,0.0,0.0,1.0
0.65,108,raw data NPE,0.6118930578231812,0.061565689742565155,0.05659296064050608,0.4962335631251335,0.6265890896320343,0.6863598555326462,0.001452139042067417,0.000649361889900899,0.025419265722985203,1.0
0.65,109,exact likelihood grid,0.40168630521521653,0.12186191127542216,0.12186191127542216,0.203787207392869,0.3993576739608247,0.6084282524764592,0.06165969101767061,0.0,0.0,0.0
0.65,109,raw data NPE,0.4242037236690521,0.12388359010219574,0.12186191127542216,0.21091424822807314,0.4312969297170639,0.6201035469770432,0.05098395840492178,0.0005070341338251356,0.022863327251698668,0.0
0.68,100,exact likelihood grid,0.5668529316649257,0.09450644457470442,0.09450644457470442,0.38716181470127264,0.5834433116889508,0.6881414660291149,0.01280225907282199,0.0,0.0,1.0
0.68,100,raw data NPE,0.5428662300109863,0.09860002994537354,0.09450644457470442,0.35580506175756454,0.5614870190620422,0.6733115494251252,0.01880567087139972,0.0005753618562350965,0.02393601065363519,0.0
