mse,rmse,std_mse,std_rmse,corr,cosine,target_mean,target_sd,pred_mean,pred_sd,method,checkpoint_step,checkpoint_source,pi,n
0.2594181102460163,0.5093310419030204,0.1622383096135245,0.40278816965437864,0.9254254751666605,0.9240656884524416,-0.021611614170923183,1.2645134099641107,-0.09711135809123517,1.3255255780176607,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,ema,0.07,5000
0.6913229426302875,0.8314583228462431,0.30685597236513074,0.553945820784967,0.8894087404323509,0.8327745113754403,-0.014994173640422832,1.500974087443865,-0.4620849556773901,1.1911748962522863,linear CS beta-conditioned DeepSets FSM,10000,raw,0.1,5000
0.5122730015200632,0.7157324929888702,0.22738147442317538,0.4768453359561938,0.8889748483394677,0.8846701216011442,-0.014994173640422832,1.500974087443865,-0.12909083161354065,1.1707326138687157,linear CS beta-conditioned DeepSets FSM,10000,ema,0.1,5000
0.4343476933326367,0.6590505999789672,0.19279294171120226,0.4390819305223141,0.9139167006554764,0.9005898573751004,-0.014994173640422832,1.500974087443865,-0.22781421660631895,1.2380786720026358,linear CS beta-conditioned DeepSets FSM,15000,raw,0.1,5000
0.3990825601236933,0.6317298157627937,0.17713988570203215,0.42087989462794745,0.9136512045812402,0.9115006618948117,-0.014994173640422832,1.500974087443865,-0.09827392393052578,1.2304033631087952,linear CS beta-conditioned DeepSets FSM,15000,ema,0.1,5000
0.5315489172196618,0.7290740135402316,0.23593743212468607,0.48573391082431755,0.924146348266953,0.8765805615258409,-0.014994173640422832,1.500974087443865,-0.46240059141665696,1.3365793828673789,linear CS beta-conditioned DeepSets FSM,20000,raw,0.1,5000
0.3535121174770139,0.5945688500729027,0.1569126349814749,0.39612199507408685,0.9245954707508469,0.9188566528402622,-0.014994173640422832,1.500974087443865,-0.1620040205359459,1.3174464067192722,linear CS beta-conditioned DeepSets FSM,20000,ema,0.1,5000
0.41173001465447107,0.6416619161633882,0.1827536831310885,0.42749699780359685,0.9386773519085542,0.9079264853880221,-0.014994173640422832,1.500974087443865,-0.3933486120536923,1.4361249187287537,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,raw,0.1,5000
0.2811705733541911,0.5302551964424216,0.12480255516878266,0.35327405108326687,0.9388439638762088,0.9358580767417767,-0.014994173640422832,1.500974087443865,-0.12357828513383866,1.3617839726491445,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],10000,ema,0.1,5000
0.2655383667617101,0.5153041497617792,0.11786392250038348,0.34331315515194505,0.9414542498527537,0.9395609308391661,-0.014994173640422832,1.500974087443865,-0.10725248081386089,1.4439325578634585,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,raw,0.1,5000
0.2623812355364106,0.5122316229367438,0.11646257370623288,0.3412661332541406,0.9421236942260827,0.9400737213098,-0.014994173640422832,1.500974087443865,-0.10967816712707282,1.4275558957759686,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],15000,ema,0.1,5000
0.43175738948548803,0.6570824830152513,0.19164318932093186,0.43777070404600155,0.9398150300617282,0.9071323270892221,-0.014994173640422832,1.500974087443865,-0.4190782431423664,1.4844609723326805,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,raw,0.1,5000
0.2813131178801253,0.5303895906596634,0.1248658260895255,0.3533635890828673,0.9401179484724902,0.9371948866049177,-0.014994173640422832,1.500974087443865,-0.1334414923235774,1.4855419267971148,shared-raw-gate CS beta-conditioned gate+DeepSets FSM [matched_random],20000,ema,0.1,5000
0.7996555785276485,0.8942346328160459,0.15071472315075488,0.38821994172215685,0.9317870737352585,0.930528907839073,0.02885180018750162,2.3034227166412586,-0.07157000811100006,1.8456062708796883,linear CS beta-conditioned DeepSets FSM,10000,raw,0.3,5000
0.8151449384641328,0.9028537746856535,0.1536340732525924,0.3919618262695902,0.9311729149663659,0.9307840902886912,0.02885180018750162,2.3034227166412586,-0.02884578981101513,1.8184025101066426,linear CS beta-conditioned DeepSets FSM,10000,ema,0.3,5000
0.6459061477463456,0.8036828651566149,0.12173686878818567,0.3489081093757863,0.9553931519768539,0.9447498922159349,0.02885180018750162,2.3034227166412586,-0.25840964929163457,1.8835022153123742,linear CS beta-conditioned DeepSets FSM,15000,raw,0.3,5000
0.5835528453116299,0.763906306631664,0.10998485833977917,0.3316396513382849,0.9553309178648215,0.9547308639288034,0.02885180018750162,2.3034227166412586,0.09075364103317261,1.859501312582487,linear CS beta-conditioned DeepSets FSM,15000,ema,0.3,5000
