pi_true,seed,method,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,102,linear FSM pilot+score NPE,-2.2650468349456787,0.09405943480447859,interior,0.970487654209137,0.17907661199569702,0.0761527493596077,0.0759230025112629,0.16824272274971008,0.32135601639747624,0.011897707284459835,0.00019527914183925326,0.01404100607225203,0.0
0.07,102,shared-raw-gate FSM pilot+score NPE,-2.2650468349456787,0.09405943480447859,interior,1.0683928728103638,0.1752231866121292,0.07344397157430649,0.07469575926661491,0.1644144356250763,0.30778677314519887,0.011071919000810967,0.000102430713421707,0.010187577294199703,0.0
0.07,103,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.07965165727968436,0.029001650467625328,0.05143126494630414,0.07080039005478354,0.13778779316340856,9.315448824448397e-05,0.0,0.0,1.0
0.07,103,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12364296615123749,0.06503978371620178,0.058027198910713194,0.10476306453347206,0.2592290103435517,0.00287756781750281,0.001935235256232389,0.044057671952391374,1.0
0.07,103,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,-1.249226689338684,0.08883292227983475,0.03641340881586075,0.05351181402802467,0.07718198373913765,0.16242516338825225,0.00035467896159829576,8.42956270029865e-05,0.009247622867817393,1.0
0.07,103,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,-1.5430458784103394,0.08373059332370758,0.0352555587887764,0.05252813044935465,0.07091061025857925,0.1574060194194317,0.000188529193021043,1.6637719251231802e-05,0.004213640493810611,1.0
0.07,104,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.09453071719306991,0.039342512984450566,0.05267412738756153,0.08382748868603071,0.17274804117652923,0.0006017560860063753,0.0,0.0,1.0
0.07,104,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12420975416898727,0.06531542539596558,0.05767333153635264,0.10474923998117447,0.259400923550129,0.0029386974470620325,0.0008808452358178702,0.029745603993968615,1.0
0.07,104,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.22415512800216675,0.12291935831308365,0.05697779729962349,0.05752630941569805,0.11039078235626221,0.23694334477186207,0.0028004584842685346,0.000805914944640935,0.02845521903453911,1.0
0.07,104,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.26199233531951904,0.11661894619464874,0.053896479308605194,0.05681307800114155,0.10171567648649216,0.222911635786295,0.002173326144299554,0.00048788986042618834,0.02215478969930256,1.0
0.07,105,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.08354993845211786,0.03265792438233137,0.05164456755267191,0.07361926699970214,0.14907108445202147,0.000183600832056182,0.0,0.0,1.0
0.07,105,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12492804229259491,0.06610608845949173,0.05761354323476553,0.10559789836406708,0.2601813599467278,0.0030170898300970945,0.0017121474774333015,0.04144463128256321,1.0
0.07,105,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,-1.0804078578948975,0.09058768302202225,0.037546735256910324,0.05367796234786511,0.07911449670791626,0.16757609322667127,0.0004238526922152628,4.9529848631218676e-05,0.007116931614202571,1.0
0.07,105,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,-1.5061695575714111,0.08380196243524551,0.034860759973526,0.052943700924515724,0.07085463032126427,0.15650656297802926,0.0001904941670639281,6.351608807152739e-08,0.0024964388022301357,1.0
0.07,106,exact likelihood grid,-1.9078127464501342,0.12922677816528913,interior,nan,0.17584806459322777,0.06698662220706482,0.0799102052248581,0.16800914249507562,0.2980203408674533,0.011203812778132117,0.0,0.0,0.0
0.07,106,pilot-only NPE,-1.9078127145767212,0.12922678175191568,interior,nan,0.20059442520141602,0.09833718836307526,0.0720356673002243,0.18131931871175766,0.3856281250715256,0.01705490389368824,0.0006123823633504908,0.02701584826610649,0.0
0.07,106,linear FSM pilot+score NPE,-1.9078127145767212,0.12922678175191568,interior,0.19815975427627563,0.1663922518491745,0.06976645439863205,0.07205841764807701,0.15668687224388123,0.2940775185823441,0.009291466216554684,8.941239465060026e-05,0.009819341156574846,0.0
0.07,106,shared-raw-gate FSM pilot+score NPE,-1.9078127145767212,0.12922678175191568,interior,-0.02856767177581787,0.15648721158504486,0.06853143870830536,0.06725627519190311,0.14606500416994095,0.2848700433969498,0.007480037767756317,0.00037484262920446524,0.019294233476988956,1.0
0.07,107,exact likelihood grid,-1.5503793900467047,0.1750314792092753,interior,nan,0.13319266929319684,0.05639712889818245,0.060259905678497844,0.123258903833983,0.24008654527187395,0.003993313452399342,0.0,0.0,1.0
0.07,107,pilot-only NPE,-1.5503793954849243,0.1750314784240211,interior,nan,0.23320037126541138,0.10774269700050354,0.08344263359904289,0.21718445420265198,0.42748057395219813,0.02663436118116811,0.010001540453763284,0.10007442352230836,0.0
0.07,107,linear FSM pilot+score NPE,-1.5503793954849243,0.1750314784240211,interior,-1.3670618534088135,0.14454945921897888,0.06358250230550766,0.063328667730093,0.1347964182496071,0.2676589384675026,0.005557621869842194,0.00012897667741834445,0.011453665399479016,1.0
0.07,107,shared-raw-gate FSM pilot+score NPE,-1.5503793954849243,0.1750314784240211,interior,-1.3887699842453003,0.149673730134964,0.06629032641649246,0.06563015133142472,0.13867435604333878,0.27591156363487246,0.006347903273619068,0.00027162536647003043,0.016547784653857246,1.0
0.07,108,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.11850461390207905,0.05115147023425422,0.056276422520651403,0.10788303169328321,0.21717258348856588,0.002352697569789759,0.0,0.0,1.0
0.07,108,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12421899288892746,0.06490644812583923,0.05811375360935926,0.10444418713450432,0.2552874565124512,0.002939699189889566,3.2654127205334715e-05,0.008450521603022131,1.0
0.07,108,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.18818944692611694,0.1225322037935257,0.0560091957449913,0.057644458860158926,0.11009916290640831,0.23761271834373482,0.0027596324354045147,1.6221480333683245e-05,0.004805619259704709,1.0
0.07,108,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.47926515340805054,0.12323755770921707,0.05713114142417908,0.058313310332596305,0.10791709274053574,0.23736667037010195,0.002834237550842217,2.2400757081526196e-05,0.005744965871476856,1.0
0.07,109,exact likelihood grid,-2.806435137806505,0.05697742217061196,interior,nan,0.14261276451011906,0.060559558600485314,0.0626291292114266,0.1326243378237185,0.25667123396633407,0.005272613569802006,0.0,0.0,1.0
