pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,107,raw-block DeepSets FSM pilot+score NPE,-1.550379405132877,interior,-2.002993106842041,0.13869169354438782,0.06246694549918175,0.05639712889818245,0.06127798557281494,0.1271635890007019,0.25774108022451403,0.00471854876199609,3.0239267715186472e-05,0.006175074771903704,1.0
0.07,108,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.11850461390207905,0.05115147023425422,0.05115147023425422,0.056276422520651403,0.10788303169328321,0.21717258348856588,0.002352697569789759,0.0,0.0,1.0
0.07,108,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.06338083744049072,0.11352049559354782,0.05205865576863289,0.05115147023425422,0.056630858778953554,0.09842157363891602,0.22005302682518962,0.0018940335367080147,2.484143531343615e-05,0.005338191876245753,1.0
0.07,109,exact likelihood grid,-2.806435097562769,interior,nan,0.14261276451011906,0.060559558600485314,0.060559558600485314,0.0626291292114266,0.1326243378237185,0.25667123396633407,0.005272613569802006,0.0,0.0,1.0
0.07,109,raw-block DeepSets FSM pilot+score NPE,-2.806435097562769,interior,1.319096565246582,0.15114881098270416,0.06727268546819687,0.060559558600485314,0.0645570069551468,0.13913074135780334,0.27979005426168446,0.006585129523906647,7.286408938213255e-05,0.008619273244416557,1.0
0.1,100,exact likelihood grid,-1.9838882074977162,interior,nan,0.1619910591712785,0.06639983411787068,0.06639983411787068,0.06978323830745468,0.15295207771819402,0.2847620916268765,0.003842891417176953,0.0,0.0,1.0
0.1,100,raw-block DeepSets FSM pilot+score NPE,-1.9838882074977162,interior,-0.6127404570579529,0.13748179376125336,0.06170542910695076,0.06639983411787068,0.06164316087961197,0.12670034915208817,0.25652251094579703,0.0014048848635611307,0.0006007040909390555,0.024442579208804667,1.0
0.1,101,exact likelihood grid,-2.4683713256785453,interior,nan,0.1459486603200323,0.06263351440289287,0.06263351440289287,0.06326539953190595,0.13559327575026114,0.26394556230032196,0.002111279385205709,0.0,0.0,1.0
0.1,101,raw-block DeepSets FSM pilot+score NPE,-2.4683713256785453,interior,1.6534061431884766,0.17597992718219757,0.07354601472616196,0.06263351440289287,0.0738215647637844,0.16546770185232162,0.312492908537388,0.005772949334612044,0.0009018769893465868,0.03009807856666089,1.0
0.1,102,exact likelihood grid,-1.6822309579679835,interior,nan,0.2634011333726914,0.08319071314052129,0.08319071314052129,0.13809735413053403,0.2568880055936657,0.4106177490174676,0.026699930387480076,0.0,0.0,0.0
0.1,102,raw-block DeepSets FSM pilot+score NPE,-1.6822309579679835,interior,1.9706425666809082,0.2725992798805237,0.09192998707294464,0.08319071314052129,0.13391698375344277,0.2652452141046524,0.42995965182781226,0.029790511415275344,8.460589917954744e-05,0.01031549210523193,0.0
0.1,103,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.07960997457726851,0.028961002737813258,0.028961002737813258,0.051429073862265466,0.07077106145536079,0.13766453017617755,0.0004157531367396367,0.0,0.0,1.0
0.1,103,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-2.3363122940063477,0.07925023138523102,0.028267022222280502,0.028961002737813258,0.053749844618141654,0.07005833834409714,0.13586300611495974,0.0004305528975664521,1.2941516421732437e-07,0.0028726981281514442,1.0
0.1,104,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.09453071719306991,0.039342512984450566,0.039342512984450566,0.05267412738756153,0.08382748868603071,0.17274804117652923,2.991305442218117e-05,0.0,0.0,1.0
0.1,104,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-0.5985079407691956,0.10098257660865784,0.0453411303460598,0.039342512984450566,0.0550593513995409,0.08647901192307472,0.19500421434640886,9.654567918815252e-07,4.162648991851062e-05,0.006518424436138521,1.0
0.1,105,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.08354993845211786,0.03265792438233137,0.03265792438233137,0.05164456755267191,0.07361926699970214,0.14907108445202147,0.0002706045249291107,0.0,0.0,1.0
0.1,105,raw-block DeepSets FSM pilot+score NPE,-2.9444389791664403,left_boundary,-1.339419960975647,0.08920638263225555,0.03674454614520073,0.03265792438233137,0.054040445014834404,0.07649901136755943,0.16552397683262826,0.00011650217588127466,3.199536076301358e-05,0.005722967127288584,1.0
0.1,106,exact likelihood grid,-1.8802535767237614,interior,nan,0.18599383849482193,0.07018734380865448,0.07018734380865448,0.08464488858550913,0.17818026535211048,0.3134810729578741,0.007394940259073517,0.0,0.0,1.0
0.1,106,raw-block DeepSets FSM pilot+score NPE,-1.8802535767237614,interior,0.29581478238105774,0.17572712898254395,0.07092635333538055,0.07018734380865448,0.07724344097077847,0.16587163507938385,0.3090161964297295,0.005734598063938846,0.00010540532420949921,0.010202942111888472,1.0
0.1,107,exact likelihood grid,-1.192993788909009,interior,nan,0.18884383142301794,0.07027294923240585,0.07027294923240585,0.08741763507377459,0.18101751101588548,0.31647092586034453,0.00789322638192163,0.0,0.0,1.0
