pi_true,seed,method,pilot_u_context,pilot_status,score_context,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.07,106,exact likelihood grid,-1.4797289849791466,interior,nan,0.246972512456351,0.1182618892341895,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.46375049802479307,0.0313192701651133,0.0,0.0,0.0
0.07,106,direct amortized raw-FSM pilot+score NPE,-1.4797289849791466,interior,-0.6120318174362183,0.22567792236804962,0.10870294272899628,0.1182618892341895,0.07699769921600819,0.2101106494665146,0.42998016327619576,0.024235615512832483,0.0004534595670287829,0.02138090241426212,0.0
0.07,107,exact likelihood grid,-2.0556635001861925,interior,nan,0.17749097270913142,0.08436710967497799,0.08436710967497799,0.06652997103570456,0.16331161554408294,0.33708421180636017,0.011554309213955234,0.0,0.0,1.0
0.07,107,direct amortized raw-FSM pilot+score NPE,-2.0556635001861925,interior,0.5847284197807312,0.1886344850063324,0.10003385692834854,0.08436710967497799,0.06738427616655826,0.1664489135146141,0.37900541573762897,0.014074141032717705,0.00012417786631786947,0.013444794926754511,1.0
0.07,108,exact likelihood grid,-1.419377001621663,interior,nan,0.17893486263643124,0.09919539889972874,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.011866804297618142,0.0,0.0,1.0
0.07,108,direct amortized raw-FSM pilot+score NPE,-1.419377001621663,interior,-0.40912145376205444,0.2322971671819687,0.10787148773670197,0.09919539889972874,0.08379603512585163,0.2157733216881752,0.4333268880844117,0.02634037047529189,0.0028475355464106867,0.05345298156439051,0.0
0.07,109,exact likelihood grid,-2.9444389791664403,left_boundary,nan,0.13708526761454615,0.074577607492677,0.074577607492677,0.055344223342857254,0.11741462966401364,0.28590915987662574,0.004500433130915273,0.0,0.0,1.0
0.07,109,direct amortized raw-FSM pilot+score NPE,-2.9444389791664403,left_boundary,0.8326348662376404,0.14392076432704926,0.07826913893222809,0.074577607492677,0.06034663058817387,0.12029320001602173,0.299619010090828,0.005464279398695157,4.6724015306640804e-05,0.006938974096737585,1.0
0.1,100,exact likelihood grid,-1.4940003825547574,interior,nan,0.2153192879320891,0.10131454116951828,0.10131454116951828,0.0748965172398188,0.20151785463089647,0.40313283868764366,0.013298538169164069,0.0,0.0,1.0
0.1,100,direct amortized raw-FSM pilot+score NPE,-1.4940003825547574,interior,-0.4501726031303406,0.2252091020345688,0.10879383981227875,0.10131454116951828,0.0766171995550394,0.20938187837600708,0.4318935230374337,0.015677319232303057,9.780842298160612e-05,0.010105632160771035,1.0
0.1,101,exact likelihood grid,-2.574108023803574,interior,nan,0.18483399248203558,0.08951316526489674,0.08951316526489674,0.06630484926916581,0.17028929920656838,0.35354830497255824,0.007196806280442068,0.0,0.0,1.0
0.1,101,direct amortized raw-FSM pilot+score NPE,-2.574108023803574,interior,-0.5830062627792358,0.15124519169330597,0.08062221854925156,0.08951316526489674,0.06223262697458267,0.12902258336544037,0.3121955931186676,0.0026260696716836744,0.001128207538424963,0.03352570703562017,1.0
0.1,102,exact likelihood grid,-2.9308411090321433,interior,nan,0.14692857247650773,0.07766250760999387,0.07766250760999387,0.05704457270444448,0.12863089776681264,0.2995968242542582,0.002202290914682838,0.0,0.0,1.0
0.1,102,direct amortized raw-FSM pilot+score NPE,-2.9308411090321433,interior,0.029761597514152527,0.13770334422588348,0.07476305216550827,0.07766250760999387,0.06099346559494734,0.11521866172552109,0.2915767028927803,0.001421542165815461,8.510483627611568e-05,0.009901063156145085,1.0
0.1,103,exact likelihood grid,-1.7587538615694356,interior,nan,0.13679283591987473,0.07681269091332749,0.07681269091332749,0.055008324569272404,0.11549183571765223,0.2911855480801427,0.001353712775026824,0.0,0.0,1.0
0.1,103,direct amortized raw-FSM pilot+score NPE,-1.7587538615694356,interior,-0.2887572646141052,0.20548295974731445,0.10506035387516022,0.07681269091332749,0.07070614844560623,0.18609175831079483,0.4067773699760437,0.01112665479705356,0.004718333111429002,0.06875696756840836,1.0
0.1,104,exact likelihood grid,-2.7367487840372196,interior,nan,0.1307958910428947,0.0719893627567532,0.0719893627567532,0.05461090538238299,0.11066410480971356,0.2755849295186795,0.0009483869051258425,0.0,0.0,1.0
0.1,104,direct amortized raw-FSM pilot+score NPE,-2.7367487840372196,interior,1.4446890354156494,0.15693795680999756,0.08515577763319016,0.0719893627567532,0.06261125020682812,0.13335151970386505,0.3312964722514153,0.0032419309256971466,0.0006834076025715305,0.026209737581877467,1.0
0.1,105,exact likelihood grid,-1.6757964289625658,interior,nan,0.16540370617496494,0.0905391005398556,0.0905391005398556,0.058590138216714986,0.14493932133528267,0.34260945076213684,0.004277644781421146,0.0,0.0,1.0
0.1,105,direct amortized raw-FSM pilot+score NPE,-1.6757964289625658,interior,-0.015275709331035614,0.21206489205360413,0.10439391434192657,0.0905391005398556,0.0727073322981596,0.1942494586110115,0.4102406412363052,0.012558540030985945,0.002177266267600917,0.04673286100811163,1.0
0.1,106,exact likelihood grid,-1.4797289849791466,interior,nan,0.246972512456351,0.1182618892341895,0.1182618892341895,0.07888195355535195,0.23296963747730423,0.46375049802479307,0.021600919417732244,0.0,0.0,1.0
0.1,106,direct amortized raw-FSM pilot+score NPE,-1.4797289849791466,interior,-0.6120318174362183,0.22567792236804962,0.10870294272899628,0.1182618892341895,0.07699769921600819,0.2101106494665146,0.42998016327619576,0.015794940170749505,0.0004534595670287829,0.02138090241426212,1.0
0.1,107,exact likelihood grid,-1.6243569927096362,interior,nan,0.21512125132135626,0.09180351671360974,0.09180351671360974,0.08461520152293013,0.20391729175585505,0.38351510892795754,0.01325290250579487,0.0,0.0,1.0
0.1,107,direct amortized raw-FSM pilot+score NPE,-1.6243569927096362,interior,0.370731383562088,0.21922515332698822,0.10920589417219162,0.09180351671360974,0.07386843115091324,0.20118499547243118,0.4218134239315989,0.01421463718584385,1.6842011671830022e-05,0.01482946161517527,1.0
0.1,108,exact likelihood grid,-1.419377001621663,interior,nan,0.17893486263643124,0.09919539889972874,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.006230712539432268,0.0,0.0,1.0
