method,seed,pi_true,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_std,pi_q05,pi_q50,pi_q95,pi_sq_err,pi_coverage90,exact_pi_post_mean,exact_pi_post_std,exact_pi_q05,exact_pi_q50,exact_pi_q95,mean_abs_err_to_exact,mean_sq_err_to_exact,sd_abs_err_to_exact,q05_abs_err_to_exact,q50_abs_err_to_exact,q95_abs_err_to_exact,w1_to_exact,cdf_at_true,exact_cdf_at_true,cdf_at_true_abs_err_to_exact
linear FSM pilot+score NPE,102,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,0.264396607875824,0.1304413080215454,0.06937726587057114,0.057133801840245725,0.11077548936009407,0.26941579133272175,0.0036531517153553287,1.0,0.12551989349418655,0.06394814852602121,0.0548938344901601,0.1090378984455099,0.2524664211612317,0.004921414527358864,2.422032095009887e-05,0.0054291173445499274,0.0022399673500856226,0.0017375909145841695,0.016949370171490064,0.00498838173790131,0.177,0.1932462867765059,0.016246286776505914
radial FSM pilot+score NPE,102,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,-0.1789829134941101,0.12953095138072968,0.06861487030982971,0.05613931436091661,0.1087615042924881,0.2616021856665612,0.0035439341722948,1.0,0.12551989349418655,0.06394814852602121,0.0548938344901601,0.1090378984455099,0.2524664211612317,0.004011057886543129,1.608858536919983e-05,0.004666721783808503,0.0012454798707565093,0.0002763941530218028,0.009135764505329491,0.00427145199533797,0.1918,0.1932462867765059,0.0014462867765059062
exact likelihood grid,103,0.07,-2.194914340303785,0.10020811355701577,interior,nan,0.12430063278354478,0.06755528201287048,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.0029485587206933774,1.0,0.12430063278354478,0.06755528201287048,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21843906586124717,0.21843906586124717,0.0
pilot-only NPE,103,0.07,-2.194914340303785,0.10020811355701577,interior,nan,0.1872907280921936,0.10031482577323914,0.061560004204511645,0.16983436048030853,0.3816610828042031,0.013757114896396892,1.0,0.12430063278354478,0.06755528201287048,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.06299009530864882,0.003967752106992663,0.03275954376036866,0.0074479471544521905,0.06488114327587313,0.12124149830400055,0.06305716842822892,0.096,0.21843906586124717,0.12243906586124717
linear FSM pilot+score NPE,103,0.07,-2.194914340303785,0.10020811355701577,interior,-0.2960653305053711,0.14373522996902466,0.07632510364055634,0.05820375569164753,0.12508104741573334,0.3016258478164673,0.005436884138584951,1.0,0.12430063278354478,0.06755528201287048,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.01943459718547988,0.00037770356776186244,0.008769821627685859,0.004091698641588072,0.020127830211297937,0.04120626331626476,0.019501666909830396,0.1512,0.21843906586124717,0.06723906586124717
radial FSM pilot+score NPE,103,0.07,-2.194914340303785,0.10020811355701577,interior,-0.5682250261306763,0.135978102684021,0.07330425828695297,0.05820501204580068,0.11417794972658157,0.2776043891906739,0.004353110033783218,1.0,0.12430063278354478,0.06755528201287048,0.054112057050059455,0.1049532172044354,0.26041958450020253,0.011677469900476217,0.00013636330327652805,0.005748976274082496,0.004092954995741228,0.009224732522146173,0.017184804690471345,0.01174453602694136,0.176,0.21843906586124717,0.04243906586124718
exact likelihood grid,104,0.07,-2.7367487840372196,0.060839406179522056,interior,nan,0.1307958910428947,0.0719893627567532,0.05461090538238299,0.11066410480971355,0.27558492951867936,0.0036961403676995246,1.0,0.1307958910428947,0.0719893627567532,0.05461090538238299,0.11066410480971355,0.27558492951867936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19826122179977168,0.19826122179977168,0.0
pilot-only NPE,104,0.07,-2.7367487840372196,0.060839406179522056,interior,nan,0.16159960627555847,0.08877219259738922,0.059296724200248715,0.14153456687927246,0.3312485232949257,0.00839048786983733,1.0,0.1307958910428947,0.0719893627567532,0.05461090538238299,0.11066410480971355,0.27558492951867936,0.03080371523266376,0.0009488688721350413,0.016782829840636018,0.004685818817865728,0.030870462069558915,0.055663593776246356,0.030870700386802435,0.1334,0.19826122179977168,0.06486122179977169
linear FSM pilot+score NPE,104,0.07,-2.7367487840372196,0.060839406179522056,interior,0.2321564257144928,0.1495606154203415,0.08095713704824448,0.05974248852580786,0.12837973982095718,0.3150332659482956,0.006329891526063479,1.0,0.1307958910428947,0.0719893627567532,0.05461090538238299,0.11066410480971355,0.27558492951867936,0.01876472437744678,0.0003521148809615454,0.008967774291491273,0.005131583143424871,0.01771563501124364,0.03944833642961626,0.018831698422769785,0.1318,0.19826122179977168,0.06646122179977168
radial FSM pilot+score NPE,104,0.07,-2.7367487840372196,0.060839406179522056,interior,-0.09402668476104736,0.14296361804008484,0.0758129432797432,0.05808729082345963,0.12325336039066315,0.2893749579787255,0.0053236895574993925,1.0,0.1307958910428947,0.0719893627567532,0.05461090538238299,0.11066410480971355,0.27558492951867936,0.012167726997190126,0.00014805358027814944,0.0038235805229899916,0.003476385441076639,0.012589255580949602,0.013790028460046122,0.012255181644282924,0.158,0.19826122179977168,0.04026122179977168
exact likelihood grid,105,0.07,-1.6757964289625658,0.157652893640706,interior,nan,0.16540370617496497,0.0905391005398556,0.058590138216714986,0.1449393213352827,0.34260945076213684,0.009101867151919048,1.0,0.16540370617496497,0.0905391005398556,0.058590138216714986,0.1449393213352827,0.34260945076213684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11516189517230319,0.11516189517230319,0.0
pilot-only NPE,105,0.07,-1.6757964289625658,0.157652893640706,interior,nan,0.21905234456062317,0.11247368156909943,0.0680777158588171,0.20233628898859024,0.4253483623266221,0.02221660141901873,1.0,0.16540370617496497,0.0905391005398556,0.058590138216714986,0.1449393213352827,0.34260945076213684,0.0536486383856582,0.0028781764006351185,0.021934581029243824,0.009487577642102112,0.05739696765330754,0.08273891156448526,0.053714904728633585,0.0578,0.11516189517230319,0.05736189517230319
